상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805442758,에이치앤드,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711010800,봉산동,2711010800100240003,1,대지,24.0,3.0,대구광역시 중구 봉산동 24-3,271104223084.0,대구광역시 중구 동성로2길,12.0,36.0,2711010800100240003009054,,대구광역시 중구 동성로2길 12-36,700822,41942,,1,,128.596998262312,35.8660370542679
MA010120220805456402,디몬트컴퍼니,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711011200,덕산동,2711011200101240040,1,대지,124.0,40.0,대구광역시 중구 덕산동 124-40,271104223083.0,대구광역시 중구 동성로1길,16.0,,2711011200101240001000001,동성로타워,대구광역시 중구 동성로1길 16,700070,41943,,7,,128.594488668627,35.8665722651713
MA010120220805467513,지이크파렌하이트,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711011900,동성로3가,2711011900101200002,1,대지,120.0,2.0,대구광역시 중구 동성로3가 120-2,271104223083.0,대구광역시 중구 동성로1길,29.0,23.0,2711011900101200002008807,,대구광역시 중구 동성로1길 29-23,700093,41942,,1,,128.595203996602,35.8674610327476
MA010120220805480797,스텝21,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110545,삼덕동,2711010500,삼덕동1가,2711010500100280029,1,대지,28.0,29.0,대구광역시 중구 삼덕동1가 28-29,271104223085.0,대구광역시 중구 동성로3길,36.0,,2711010500100280030008006,,대구광역시 중구 동성로3길 36,700411,41942,,,,128.597846419051,35.8669161327611
MA010120220805483110,에디션,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711011200,덕산동,2711011200100530003,1,대지,53.0,3.0,대구광역시 중구 덕산동 53-3,271102007002.0,대구광역시 중구 달구벌대로,2085.0,,2711011200100530003006516,동아쇼핑,대구광역시 중구 달구벌대로 2085,700717,41936,,5,,128.591851543249,35.8663419278142
MA010120220805487834,동궁사,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711014000,동산동,2711014000105640000,1,대지,564.0,,대구광역시 중구 동산동 564,271103141004.0,대구광역시 중구 달성로,18.0,,2711014000105620000003870,베네시움,대구광역시 중구 달성로 18,700821,41931,,3,,128.582730179965,35.8667380304876
MA010120220805506164,뷰네트워크,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711015000,북성로1가,2711015000100060001,1,대지,6.0,1.0,대구광역시 중구 북성로1가 6-1,271103141011.0,대구광역시 중구 태평로,160.0,,2711015000100060001007325,대구스테이션센터,대구광역시 중구 태평로 160,700745,41910,,,,128.595280406126,35.8747162948189
MA010120220805508522,모아의상실,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711012500,교동,2711012500100620005,1,대지,62.0,5.0,대구광역시 중구 교동 62-5,271104223014.0,대구광역시 중구 교동길,35.0,3.0,2711012500100620005014863,,대구광역시 중구 교동길 35-3,700800,41910,,,,128.596445253372,35.8735117598627
MA010120220805534141,위너,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711012200,공평동,2711012200100550001,1,대지,55.0,1.0,대구광역시 중구 공평동 55-1,271104223088.0,대구광역시 중구 동성로6길,40.0,,2711012200100550001008294,,대구광역시 중구 동성로6길 40,700150,41941,,1,,128.597493600311,35.8685943471821
MA010120220805605892,어나더뮤즈,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711012500,교동,2711012500100780012,1,대지,78.0,12.0,대구광역시 중구 교동 78-12,271104223014.0,대구광역시 중구 교동길,106.0,,2711012500100780012009116,,대구광역시 중구 교동길 106,700801,41912,,1,,128.600417246991,35.8730323003739
