법정동명,매출(만원),업소수,유동인구,직장인 평균소득(만원),상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,반경내_가게수,지하철유동인구수
동성로1가,896.7022800640542,7,3702.5410240059564,302.3275148710714,MA010120220809030915,오렌지,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711014800,2.71e+18,1,대지,14,3.0,대구광역시 중구 동성로1가 14-3,271000000000.0,대구광역시 중구 동성로,68,1.0,2.71e+24,,대구광역시 중구 동성로 68-1,700091,41912,,,,128.5960199,35.87290999,0,34054
동성로1가,871.0084305978896,7,3708.7057687695306,299.88960928996306,MA010120220809078193,가나안,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711014800,2.71e+18,1,대지,12,9.0,대구광역시 중구 동성로1가 12-9,271000000000.0,대구광역시 중구 동성로,70,9.0,2.71e+24,,대구광역시 중구 동성로 70-9,700091,41912,,1,,128.5963306,35.87298956,0,34054
동성로1가,880.7711075891899,7,3684.694157673656,312.9353802539375,MA010120220808949048,루루,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711014800,2.71e+18,1,대지,11,12.0,대구광역시 중구 동성로1가 11-12,271000000000.0,대구광역시 중구 동성로,70,7.0,2.71e+24,,대구광역시 중구 동성로 70-7,700091,41912,,,,128.5961868,35.87301732,0,34054
동성로1가,886.8330054219424,7,3702.8264383819314,301.1225746504386,MA010120220803265406,보니따,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711014800,2.71e+18,1,대지,14,3.0,대구광역시 중구 동성로1가 14-3,271000000000.0,대구광역시 중구 동성로,68,1.0,2.71e+24,,대구광역시 중구 동성로 68-1,700091,41912,,1,,128.5960199,35.87290999,0,34054
동성로1가,899.4303414509523,7,3680.915087266861,304.77600855974873,MA0101202301A0109306,에이치에뜨레,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711014800,2.71e+18,1,대지,15,,대구광역시 중구 동성로1가 15,271000000000.0,대구광역시 중구 동성로,66,,2.71e+24,,대구광역시 중구 동성로 66,700091,41912,,1,,128.5960742,35.8727655,0,34054
교동,891.2860304310109,36,6751.206904356205,316.1341555010712,MA010120220805508522,모아의상실,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711012500,2.71e+18,1,대지,62,5.0,대구광역시 중구 교동 62-5,271000000000.0,대구광역시 중구 교동길,35,3.0,2.71e+24,,대구광역시 중구 교동길 35-3,700800,41910,,,,128.5964453,35.87351176,0,34054
교동,897.233231186901,36,6745.128925499376,322.80722635703796,MA010120220808804353,교동2층62호,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711012500,2.71e+18,1,대지,67,12.0,대구광역시 중구 교동 67-12,271000000000.0,대구광역시 중구 교동길,40,,2.71e+24,교동시장,대구광역시 중구 교동길 40,700801,41912,,2,,128.5967978,35.87326665,0,34054
교동,898.661512012952,36,6735.181355542717,300.6237170205472,MA010120220808826105,교동61호,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711012500,2.71e+18,1,대지,67,12.0,대구광역시 중구 교동 67-12,271000000000.0,대구광역시 중구 교동길,40,,2.71e+24,교동시장,대구광역시 중구 교동길 40,700801,41912,,,,128.5967978,35.87326665,0,34054
교동,892.870852745888,36,6732.454120925287,304.8948336169627,MA010120220808806663,교동53호,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711012500,2.71e+18,1,대지,67,12.0,대구광역시 중구 교동 67-12,271000000000.0,대구광역시 중구 교동길,40,,2.71e+24,교동시장,대구광역시 중구 교동길 40,700801,41912,,1,,128.5967978,35.87326665,0,34054
교동,923.4626794768213,36,6730.93451384797,313.07843100630635,MA010120220808833807,교동52호,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711012500,2.71e+18,1,대지,67,12.0,대구광역시 중구 교동 67-12,271000000000.0,대구광역시 중구 교동길,40,,2.71e+24,교동시장,대구광역시 중구 교동길 40,700801,41912,,,,128.5967978,35.87326665,0,34054
