업소수,유동인구,직장인 평균소득(만원),반경내_가게수,위도,경도,예측매출(만원)
6,10106.25947,310.8165409,1,35.86724538,128.5950695,7484.943848
9,31415.55367,330.1042694,1,35.86880911,128.5978053,5601.729492
9,31403.71532,343.9514888,1,35.86882587,128.5980601,5599.525879
9,31401.07043,321.2243716,1,35.86967209,128.5982658,5598.699707
9,31393.26664,333.1622844,0,35.87095027,128.6004126,5413.505371
20,23748.18002,318.8561747,0,35.87091313,128.5951966,5107.587891
20,23742.45738,292.7858217,1,35.86931478,128.5958048,5107.550293
20,23709.33054,308.2520096,0,35.87206327,128.5959139,5105.813477
55,23695.52222,333.3870669,1,35.8669438,128.5995298,3928.809814
55,23712.12827,317.0515864,1,35.86731835,128.5985249,3926.128662
