법정동명,매출(만원),업소수,유동인구,직장인 평균소득(만원),상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,반경내_가게수,지하철유동인구수
봉산동,"1,850",41.0,"63,377",311.0,MA010120220805442758,에이치앤드,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711010800,2711010800100240003,1,대지,24.0,3.0,대구광역시 중구 봉산동 24-3,271104223084.0,대구광역시 중구 동성로2길,12.0,36.0,2711010800100240003009054,,대구광역시 중구 동성로2길 12-36,700822,41942,,1,,128.596998262312,35.8660370542679,1,34054
삼덕동1가,"3,917",55.0,"23,695",319.0,MA010120220805480797,스텝21,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110545,삼덕동,2711010500,2711010500100280029,1,대지,28.0,29.0,대구광역시 중구 삼덕동1가 28-29,271104223085.0,대구광역시 중구 동성로3길,36.0,,2711010500100280030008006,,대구광역시 중구 동성로3길 36,700411,41942,,,,128.597846419051,35.8669161327611,1,5762
동산동,905,30.0,"25,062",313.0,MA010120220805487834,동궁사,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711014000,2711014000105640000,1,대지,564.0,,대구광역시 중구 동산동 564,271103141004.0,대구광역시 중구 달성로,18.0,,2711014000105620000003870,베네시움,대구광역시 중구 달성로 18,700821,41931,,3,,128.582730179965,35.8667380304876,0,11546
교동,895,36.0,"6,735",317.0,MA010120220805508522,모아의상실,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711012500,2711012500100620005,1,대지,62.0,5.0,대구광역시 중구 교동 62-5,271104223014.0,대구광역시 중구 교동길,35.0,3.0,2711012500100620005014863,,대구광역시 중구 교동길 35-3,700800,41910,,,,128.596445253372,35.8735117598627,0,34054
공평동,"5,596",9.0,"31,389",323.0,MA010120220805534141,위너,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711012200,2711012200100550001,1,대지,55.0,1.0,대구광역시 중구 공평동 55-1,271104223088.0,대구광역시 중구 동성로6길,40.0,,2711012200100550001008294,,대구광역시 중구 동성로6길 40,700150,41941,,1,,128.597493600311,35.8685943471821,1,34054
봉산동,"1,850",41.0,"63,377",311.0,MA010120220805938394,보라,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711010800,2711010800100010002,1,대지,1.0,2.0,대구광역시 중구 봉산동 1-2,271104223084.0,대구광역시 중구 동성로2길,21.0,1.0,2711010800100010002014221,,대구광역시 중구 동성로2길 21-1,700822,41942,,,,128.596163084005,35.8668884444323,1,34054
동성로2가,"5,095",20.0,"23,717",301.0,MA010120220806337340,예삐,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711012300,2711012300100410008,1,대지,41.0,8.0,대구광역시 중구 동성로2가 41-8,271103007001.0,대구광역시 중구 국채보상로,580.0,,2711011500100170008000001,대현프리몰,대구광역시 중구 국채보상로 580,700092,41909,,,,128.59519659058,35.8709131331061,0,34054
동성로2가,"5,095",20.0,"23,717",301.0,MA010120220806353762,두낫디스터브가르텐점,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711012300,2711012300101620000,1,대지,162.0,,대구광역시 중구 동성로2가 162,271103141006.0,대구광역시 중구 동성로,26.0,,2711012300101620000014892,법무사회관,대구광역시 중구 동성로 26,700092,41941,,,,128.595392960495,35.8690374103702,1,34054
덕산동,"2,229",63.0,"21,648",307.0,MA010120220806355265,동아쇼핑반에이크,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711011200,2711011200100530003,1,대지,53.0,3.0,대구광역시 중구 덕산동 53-3,271102007002.0,대구광역시 중구 달구벌대로,2085.0,,2711011200100530003006516,동아쇼핑,대구광역시 중구 달구벌대로 2085,700717,41936,,2,,128.591851543249,35.8663419278142,1,11546
덕산동,"2,229",63.0,"21,648",307.0,MA010120220806354717,요하넥스,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711011200,2711011200100530003,1,대지,53.0,3.0,대구광역시 중구 덕산동 53-3,271102007002.0,대구광역시 중구 달구벌대로,2085.0,,2711011200100530003006516,동아쇼핑,대구광역시 중구 달구벌대로 2085,700717,41936,,4,,128.591851543249,35.8663419278142,1,11546
덕산동,"2,229",63.0,"21,648",307.0,MA010120220806386468,클라비스,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711011200,2711011200100530003,1,대지,53.0,3.0,대구광역시 중구 덕산동 53-3,271102007002.0,대구광역시 중구 달구벌대로,2085.0,,2711011200100530003006516,동아쇼핑,대구광역시 중구 달구벌대로 2085,700717,41936,,3,,128.591851543249,35.8663419278142,1,11546
덕산동,"2,229",63.0,"21,648",307.0,MA010120220806496606,워나이니8호,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711011200,2711011200100880000,1,대지,88.0,,대구광역시 중구 덕산동 88,271102007002.0,대구광역시 중구 달구벌대로,2100.0,,2711015600109300001000001,반월당역,대구광역시 중구 달구벌대로 2100,700070,41957,,,,128.593354331461,35.864432724458,1,11546
